csv_row_number,reaction_key,physical_dataset_id,source_row_index,label_decision_id,campaign_id
33,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-05911d2df8994beda70a7ef8ddf1d78d,ord_dataset-7d8f5fd922d4497d91cb81489b052746,973,8f7ffd00ad3820eaaa6bad3c285372cf2c464e5e22405b77c92f2aad95eb4d31,science_hte_campaign_a04d9653a525
34,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-05e49b63873c4286a70e207fdda55ac1,ord_dataset-7d8f5fd922d4497d91cb81489b052746,2,b5b934d8aecc02e84bec45dd50a11ef317c358130986f7945d402c5e8ed240e3,science_hte_campaign_ac8fc337e171
35,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-05e74617e97e4e428b87ac7a35dd112c,ord_dataset-7d8f5fd922d4497d91cb81489b052746,851,35408195572031594cec05bfa667af8f4850e12b1fa35be03ce72503ec9c8a7b,science_hte_campaign_97b28884900c
36,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-05ef4c57eed1438eb8c24570d7c9c288,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1360,0c1e21a205c9ac786d1a12c3ae0986f5131beffa362b4494e48c2173603f075a,science_hte_campaign_4dcfd4b46ebc
37,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-064d0487a9014ea9acbe6e6e2aadbdc3,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1277,5394ec285425c3449750a1662f18071741e9ac97fd43b1beb1a7036fdf96a4f1,science_hte_campaign_62bdfe294f99
38,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-06577567c1244d6ba8b0d223f6314eeb,ord_dataset-7d8f5fd922d4497d91cb81489b052746,55,6b314dd2ef186780d4c59d00fd1d1a10ca2dd142536e20049ff2ef4dea2b0e50,science_hte_campaign_ac8fc337e171
39,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-06b4292046d04b6081286838667ce45b,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1265,169625e27ec42828247e5b02b61f0498248d168a679468cbe5d04d20d0b56ca4,science_hte_campaign_62bdfe294f99
40,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0728b43901ce4da4bf67dac8e303e8c2,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1478,cf3596d894ad337801201cd72970df2488051a638a59618e51a05bc69f1038f9,science_hte_campaign_ca267bf88824
41,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0762acc9b62b45728f2beed40a00ba7e,ord_dataset-7d8f5fd922d4497d91cb81489b052746,416,1cfe2857089cd3db593bd89ebc613bd0a8e946e8132c93eb9c3191c389155b5c,science_hte_campaign_aeefa100ca4f
42,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-07b753f05fbe4e2ca79bd5778447bd2b,ord_dataset-7d8f5fd922d4497d91cb81489b052746,941,726f2614bf2c28eb958128674e8c8d5c3ae078ce6754c11be62db73983c881d9,science_hte_campaign_d8d10c924377
43,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-07db4228026949a8b789a6bd207424b6,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1205,82f751cc045f03d8a5d44d1a641bdb1e7159cda86eeeebb36330e442e7beaf28,science_hte_campaign_6bf2df144d3d
