reactant-1,reactant-2,reactant-3,catalyst-1,catalyst-2,solvent-1,solvent-2,solvent-3,solvent-4,solvent-5,ee_s_minus_r_percent
C#CCCCCC=O,O=C(CBr)c1ccc(OC(F)(F)F)cc1,Cc1cccc(C)n1,CN1C(=O)[C@H](Cc2ccccc2)N[C@@H]1C(C)(C)C,Fc1cc(F)c(-c2ccccn2)[c]([Ir][c]2cc(F)cc(F)c2-c2ccccn2)c1.Fc1ccc(-c2ccccn2)c(F)c1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-3.359999895095825
C#CCCCCC=O,O=C(CBr)c1ccc(-c2ccccc2)cc1,Cc1cccc(C)n1,C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-45.04999923706055
C#CCCCCC=O,O=C(CBr)c1ccccc1,Cc1cccc(C)n1,C1COCCN1,O.O.O.O.O.O.[Cl][Ru][Cl].c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-6.429999828338623
C#CCCCCC=O,O=C(CBr)c1ccc(Cl)cc1,Cc1cccc(C)n1,C1COCCN1,O.O.O.O.O.O.[Cl][Ru][Cl].c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-1.9299999475479126
C#CCCCCC=O,O=C(CBr)c1ccc(C(F)(F)F)cc1,Cc1cccc(C)n1,O=C(O)[C@@H]1Cc2ccccc2N1,F[P-](F)(F)(F)(F)F.[Ir+3].[c-]1ccccc1-c1ccccn1.[c-]1ccccc1-c1ccccn1.c1ccc(-c2ccccn2)nc1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,25.59000015258789
C#CCCCCC=O,O=C(CBr)c1ccccc1,Cc1cccc(C)n1,C[C@@H]1[NH2+][C@@H](C(C)(C)C)N(C)C1=O.O=S(=O)([O-])C(F)(F)F,COc1ccc(-c2cc(-c3ccc(OC)cc3)[o+]c(-c3ccc(OC)cc3)c2)cc1.F[B-](F)(F)F,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-84.51000213623047
C#CCCCCC=O,O=C(CBr)c1ccccc1,Cc1cccc(C)n1,C[Si](C)(C)OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@H]1CCCN1,Fc1cc(F)c(-c2ccccn2)[c]([Ir][c]2cc(F)cc(F)c2-c2ccccn2)c1.Fc1ccc(-c2ccccn2)c(F)c1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,54.369998931884766
C#CCCCCC=O,O=C(CBr)c1ccc(OC(F)(F)F)cc1,Cc1cccc(C)n1,C1COCCN1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.[Ru+2].c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-0.1899999976158142
C#CCCCCC=O,COc1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,O=C(O)[C@@H]1Cc2ccccc2N1,F[P-](F)(F)(F)(F)F.[Ir+3].[c-]1ccccc1-c1ccccn1.[c-]1ccccc1-c1ccccn1.c1ccc(-c2ccccn2)nc1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,31.40999984741211
C#CCCCCC=O,O=C(CBr)c1ccc(O)cc1,Cc1cccc(C)n1,O=C(O)[C@H]1CCCCN1,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1.[Cl-],CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-0.07000000029802322
C#CCCCCC=O,O=C(CBr)c1ccc(O)cc1,Cc1cccc(C)n1,O=C(O)[C@H]1CCCCN1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.[Ru+2].c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,12.119999885559082
C#CCCCCC=O,O=C(CBr)c1ccc(Br)cc1,Cc1cccc(C)n1,CN1C(=O)[C@H](Cc2ccccc2)N[C@@H]1C(C)(C)C,,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,8.369999885559082
C#CCCCCC=O,O=C(CBr)c1ccc(Cl)cc1,Cc1cccc(C)n1,O=C(O)[C@H]1CCCCN1,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12.[Na].[Na],CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,10.319999694824219
C#CCCCCC=O,O=C(CBr)c1ccc(C(F)(F)F)cc1,Cc1cccc(C)n1,O=C(O)[C@H]1CCCCN1,F[P-](F)(F)(F)(F)F.[Ir+3].[c-]1ccccc1-c1ccccn1.[c-]1ccccc1-c1ccccn1.c1ccc(-c2ccccn2)nc1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,7.789999961853027
C#CCCCCC=O,O=C(CBr)c1ccc(Cl)cc1,Cc1cccc(C)n1,NC(=O)C1CCCN1,,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,24.139999389648438
C#CCCCCC=O,O=C(CBr)c1ccc(F)cc1,Cc1cccc(C)n1,NC(=O)C1CCCN1,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,16.43000030517578
C#CCCCCC=O,O=C(CBr)c1ccc(OC(F)(F)F)cc1,Cc1cccc(C)n1,C[C@@H]1[NH2+][C@@H](C(C)(C)C)N(C)C1=O.O=S(=O)([O-])C(F)(F)F,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1.[Cl-],CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-47.599998474121094
C#CCCCCC=O,O=C(CBr)c1ccc(F)cc1,Cc1cccc(C)n1,O=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1,Cc1cc(C)c(-c2c3ccccc3[n+](C)c3ccccc23)c(C)c1.[O-][Cl+3]([O-])([O-])[O-],CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,17.65999984741211
C#CCCCCC=O,COc1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C[C@@H]1[NH2+][C@@H](C(C)(C)C)N(C)C1=O.O=S(=O)([O-])C(F)(F)F,COc1ccc(-c2cc(-c3ccc(OC)cc3)[o+]c(-c3ccc(OC)cc3)c2)cc1.F[B-](F)(F)F,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-60.9900016784668
C#CCCCCC=O,O=C(CBr)c1ccccc1,Cc1cccc(C)n1,O=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1,COc1ccc(-c2cc(-c3ccc(OC)cc3)[o+]c(-c3ccc(OC)cc3)c2)cc1.F[B-](F)(F)F,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,12.270000457763672
C#CCCCCC=O,O=C(CBr)c1ccc(OC(F)(F)F)cc1,Cc1cccc(C)n1,CN1C(=O)[C@H](Cc2ccccc2)N[C@@H]1C(C)(C)C,[Ir+3].[c-]1ccccc1-c1ccccn1.[c-]1ccccc1-c1ccccn1.[c-]1ccccc1-c1ccccn1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,8.25
C#CCCCCC=O,O=C(CBr)c1ccc(-c2ccccc2)cc1,Cc1cccc(C)n1,O=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1,O.O.O.O.O.O.[Cl][Ru][Cl].c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-4.019999980926514
C#CCCCCC=O,O=C(CBr)c1ccc(F)cc1,Cc1cccc(C)n1,C[C@@H]1[NH2+][C@@H](C(C)(C)C)N(C)C1=O.O=S(=O)([O-])C(F)(F)F,Fc1cc(F)c(-c2ccccn2)[c]([Ir][c]2cc(F)cc(F)c2-c2ccccn2)c1.Fc1ccc(-c2ccccn2)c(F)c1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-66.87000274658203
C#CCCCCC=O,O=C(CBr)c1ccc(O)cc1,Cc1cccc(C)n1,NC(=O)C1CCCN1,CCCC(=O)OCC(OC(=O)CCC)C(OC(=O)CCC)C(Cn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21)OC(=O)CCC,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,14.0600004196167
C#CCCCCC=O,O=C(CBr)c1ccccc1,Cc1cccc(C)n1,CN1C(=O)[C@H](Cc2ccccc2)N[C@@H]1C(C)(C)C,[Ir+3].[c-]1ccccc1-c1ccccn1.[c-]1ccccc1-c1ccccn1.[c-]1ccccc1-c1ccccn1,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-34.75
C#CCCCCC=O,O=C(CBr)c1ccc(Cl)cc1,Cc1cccc(C)n1,C[C@@H]1[NH2+][C@@H](C(C)(C)C)N(C)C1=O.O=S(=O)([O-])C(F)(F)F,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12.[Na].[Na],CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-51.31999969482422
C#CCCCCC=O,O=C(CBr)c1ccc(C(F)(F)F)cc1,Cc1cccc(C)n1,NC(=O)C1CCCN1,Cc1ccc(-c2cc(-c3ccc(C)cc3)[o+]c(-c3ccc(C)cc3)c2)cc1.F[B-](F)(F)F,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,15.119999885559082
C#CCCCCC=O,COc1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,NC(=O)C1CCCN1,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,23.520000457763672
C#CCCCCC=O,O=C(CBr)c1ccc(C(F)(F)F)cc1,Cc1cccc(C)n1,C[C@@H]1[NH2+][C@@H](C(C)(C)C)N(C)C1=O.O=S(=O)([O-])C(F)(F)F,,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,CN(C)C=O,-69.0199966430664
