reaction_key,physical_dataset_id,source_row_index,label_decision_id,exclusion_reason
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-993ebc7baba54cf881f2e585c0f95c6b,ord_dataset-3b8a2ef300e145468579027f206a3ac8,176,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-9e31418c1d614e64888e8296bbb3650b,ord_dataset-3b8a2ef300e145468579027f206a3ac8,129,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-a00011e0d4174544a750cc822f16a6bd,ord_dataset-3b8a2ef300e145468579027f206a3ac8,203,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-a092bbc779894b23a40331be41f4f635,ord_dataset-3b8a2ef300e145468579027f206a3ac8,130,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-a0dad437bdd8492681239f2582386a88,ord_dataset-3b8a2ef300e145468579027f206a3ac8,170,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-a0dcac6cfbc74d8e92f1a7c91e377b06,ord_dataset-3b8a2ef300e145468579027f206a3ac8,213,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-a40fea227f4d4040bef09e2a00410c38,ord_dataset-3b8a2ef300e145468579027f206a3ac8,120,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-a74687aed41b4c1fba3bfcec1b1890b1,ord_dataset-3b8a2ef300e145468579027f206a3ac8,137,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-a8948aca5f114025a92ced89145d6090,ord_dataset-3b8a2ef300e145468579027f206a3ac8,185,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-aa181a1473b245bdab3beb3edf1dbef6,ord_dataset-3b8a2ef300e145468579027f206a3ac8,193,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-aae2530bb5e040adbea7691d78bb7869,ord_dataset-3b8a2ef300e145468579027f206a3ac8,24,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-ac7ae28af47e433fbdc99a9737f017e6,ord_dataset-3b8a2ef300e145468579027f206a3ac8,126,,non_finite_label
