dataset_slug,logical_dataset_id,row_count,reaction_payload_sha256,source_links_path,row_locator,two_hop_source_manifest
nicolit-nickel-cross-couplings,physical_9b8aa9a7835143ef8ce3f70abfab7545,1762,e3915c5fb7ca26931e6c64d88fb649980939b99d3ee0bfd2cbac927c3a40569c,datasets/corpus/nicolit-nickel-cross-couplings/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
pfizer-hte-reaction-conditions,physical_d92976309c3a48a3a64a4cf5e7048086,39347,f25da3289cc17f21e0da69bf557b40d36f519190b554f97212c8b6def1e9b754,datasets/corpus/pfizer-hte-reaction-conditions/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
photocatalytic-aryl-bromide-dehalogenation,physical_b440f8c90b6343189093770060fc4098,1152,d269f6f99d570067a9ae25c4d97d6486660f06dcf14afc65468c31a6b78ebc76,datasets/corpus/photocatalytic-aryl-bromide-dehalogenation/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
pyparser-oxazole-c-h-activation,physical_5415f83da68e4797856ddd330dda5c61,48,b57b3d9affe356285900de7c3341b5b0675cbe3f5851a8c3f1b2f0e7433971e2,datasets/corpus/pyparser-oxazole-c-h-activation/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
reizman-suzuki-miyaura-feedback-optimization,lit_10_1039_c6re00153j,385,e8e402ed49074bbbd0eee98a534edf00dc1090b95e0afe4b88675cf66fb1ca89,datasets/corpus/reizman-suzuki-miyaura-feedback-optimization/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
rexgen-direct-reaction-smiles,upstream_rexgen_direct_c8sc04228d,479035,f9bcff02cf8333ce07996d85a233e6ebdedb1d1dab66992036dfb1ed8dc92fc2,datasets/corpus/rexgen-direct-reaction-smiles/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
roche-borylation-surf,physical_99c23cf435dc42f1af884053bc8b11c7,1111,a81c55ed41e0adad92340746746df7e3c6637dd4bc81cb9dc35c2c6df0d714dc,datasets/corpus/roche-borylation-surf/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
roche-minisci-surf,physical_feaf1b793c6d408aaec1cac7cc3ceadc,130,009f0293f868adb738c3dc31663591d997d8f70b938d393d22c21f736395c8fb,datasets/corpus/roche-minisci-surf/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
science-hte-palladium-cross-coupling,lit_10_1126_science_1259203,1824,6710778c355d7d649a5a5902ff0011ad35fd67c6802db298892d12b326ec8ef4,datasets/corpus/science-hte-palladium-cross-coupling/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
shields-bayesian-arylation,lit_10_1038_s41586_021_03213_y,1984,fda075ca3e3a7c2ccd662a9696f63d18ee4720662b381b98adbefe0388dbacda,datasets/corpus/shields-bayesian-arylation/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
sp3-carboxyl-aryl-halide-coupling,physical_89b083710e2d441aa0040c361d63359f,24,74af905ebcfe1126d4aa6851185f81c6e5b1d6d4da7c2ea9766a1b469db2171f,datasets/corpus/sp3-carboxyl-aryl-halide-coupling/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
sulfonamide-flow-synthesis-library,physical_5eb7f2689f4a42eba63ad9e37e49a5cd,39,e12193ff91def94b07e32eb1bf7d0c52cb213e8b34397f73c46b8dfc47528694,datasets/corpus/sulfonamide-flow-synthesis-library/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
suzuki-miyaura-nanoscale-screen,physical_68cb8b4b2b384e3d85b5b1efae58b203,5760,00ea04f4c541daf35073dad22e26de8d94befc3841ba8a6fd174adfa4948a714,datasets/corpus/suzuki-miyaura-nanoscale-screen/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
uspto-grants-reactions,physical_1158e351757f315b93cbcbe7bc55f38e,1771032,e0b96db7d9db81aa27ea312884b23ddfe2e7c7e3a986a2109e6da5b7c16b0c72,datasets/corpus/uspto-grants-reactions/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
