reactant-1,reactant-2,catalyst-1,catalyst-2,catalyst-3,catalyst-4,solvent-1,solvent-2,solvent-3,product,temperature_c,reaction_time_s,illumination_wavelength_nm,reflux_value,yield_percent
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N3CCCCC3)ccc1-2,55.0,57600.0,495.0,0.0,2.3423237800598145
CC(=O)NC(C)(C)[C@@H]1CC2(CCN(C(=O)OC(C)(C)C)CC2)c2cc(Cl)c(C)cc21,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CC(=O)NC(C)(C)[C@@H]1CC2(CCN(C(=O)OC(C)(C)C)CC2)c2cc(N3CCCCC3)c(C)cc21,55.0,57600.0,495.0,0.0,1.1114394664764404
O=C(O)C[C@H]1CCc2c1n(Cc1ccc(Cl)cc1)c1c(Br)cc(F)cc21,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C(O)C[C@H]1CCc2c1n(Cc1ccc(Cl)cc1)c1c(N3CCCCC3)cc(F)cc21,55.0,57600.0,495.0,0.0,0.0
O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)n1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4N4CCCCC4)CC3)no2)n1,55.0,57600.0,495.0,0.0,0.0
COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,COC(=O)CC1CCc2cc(N3CCCCC3)cc3[nH]c(=O)c(=O)n1c23,55.0,57600.0,495.0,0.0,0.0
O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)n1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4N4CCCCC4)CC3)no2)n1,55.0,57600.0,495.0,0.0,0.0
Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1N1CCCCC1,55.0,57600.0,495.0,0.0,0.0
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(Br)c3C2)CN1C(=O)OCc1ccccc1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(N4CCCCC4)c3C2)CN1C(=O)OCc1ccccc1,55.0,57600.0,495.0,0.0,34.69108200073242
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cc(Br)cnc32)CC1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cc(N4CCCCC4)cnc32)CC1,55.0,57600.0,495.0,0.0,30.006444931030273
COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,COC(=O)CC1CCc2cc(N3CCCCC3)cc3[nH]c(=O)c(=O)n1c23,55.0,57600.0,495.0,0.0,0.0
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3c(F)ccc(Br)c3C2)CN1C(=O)OC(C)(C)C,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3c(F)ccc(N4CCCCC4)c3C2)CN1C(=O)OC(C)(C)C,55.0,57600.0,495.0,0.0,49.315757751464844
CC(=O)NC(C)(C)[C@@H]1CC2(CCN(C(=O)OC(C)(C)C)CC2)c2cc(Cl)c(C)cc21,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CC(=O)NC(C)(C)[C@@H]1CC2(CCN(C(=O)OC(C)(C)C)CC2)c2cc(N3CCCCC3)c(C)cc21,55.0,57600.0,495.0,0.0,0.1654122769832611
COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(Br)c3C2)CN1C(=O)OCc1ccccc1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,COC(=O)[C@@H]1C[C@@H](OC(=O)N2Cc3cccc(N4CCCCC4)c3C2)CN1C(=O)OCc1ccccc1,55.0,57600.0,495.0,0.0,2.8530683517456055
