artifact_id,old_path,artifact_class,source_sha256,source_sha256_verified,scan_status,blocking_finding_count,informational_finding_count,sensitive_disposition,upload_allowlist_status_after_scan,next_gate
dataset-artifact-3c2bdac601ed51bce049fc5d,processing/derived/yonod/datasets/lit_10_1126_science_1259203/targets/science_hte_diverse_nucleophile_relative_lc_area_ratio/row_map.csv,model-ready-row-map,5863de3a012bf0587a435d0487d58f59c50434c1ff45c38cea6ea6d9aedb7a07,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-94dc5fb516dd4442791a2c21,processing/derived/yonod/datasets/lit_10_1126_science_1259203/targets/science_hte_diverse_nucleophile_relative_lc_area_ratio/target_audit.jsonl,model-ready-audit,20d3cd578b86e0b125ccbe0e3ea3782dd2050c0a48fd2709c2aaa1d4ac6228fe,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-aaada35f0a15e9bc5c779fda,processing/derived/yonod/datasets/lit_10_1126_science_1259203/targets/science_hte_diverse_nucleophile_relative_lc_area_ratio/target_manifest.json,model-ready-metadata,afa527691c27adb966173e98bb33352640758898344e93361efdb6abf62ab1ea,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-f2e6b589c151b66a2b503dc8,processing/derived/yonod/datasets/physical_1ec2807f02fa4beda27d2a81b86eb843/exclusions.csv,target-adaptation-evidence,6d54c0a92a984d4e0c746190a886781962be19e40e41d57ed16f6b57f438aad6,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-97bb4b5da326339aa8c7a043,processing/derived/yonod/datasets/physical_1ec2807f02fa4beda27d2a81b86eb843/package_manifest.json,target-adaptation-evidence,b8a006df4168bdcc4670eb1ef95cb3583fca5a615317e8c72d24db3027a6a195,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-8ae4d96c4eebea57a7a8af41,processing/derived/yonod/datasets/physical_1ec2807f02fa4beda27d2a81b86eb843/row_audit.jsonl,target-adaptation-evidence,85d082f33e40e469323327360f4c8bb00e3cf094f3bdf10259d79aca7176532e,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-2b71c3e9a7bac67cfff5f200,processing/derived/yonod/datasets/physical_1ec2807f02fa4beda27d2a81b86eb843/targets/catechol_product_2_yield_percent/exclusions.csv,model-ready-exclusions,76d6a5ca9f764f76c4db719a17a6bd109080b1ee74d3b6229427611585ea10d0,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-e6d75613370f3ebbd9911f7c,processing/derived/yonod/datasets/physical_1ec2807f02fa4beda27d2a81b86eb843/targets/catechol_product_2_yield_percent/row_map.csv,model-ready-row-map,16d61d8f56d8278be07a447031f8700ec6c5a2c02764c2f0191d86d3a76dc71f,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-3267eddac958a4f314dc16d4,processing/derived/yonod/datasets/physical_1ec2807f02fa4beda27d2a81b86eb843/targets/catechol_product_2_yield_percent/target_audit.jsonl,model-ready-audit,96f627cda36b99f17be7e4bd8b17177661c84e6f0cd75fcf9d62f09f1f096388,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
dataset-artifact-9ece129cf297b90d956d94f5,processing/derived/yonod/datasets/physical_1ec2807f02fa4beda27d2a81b86eb843/targets/catechol_product_2_yield_percent/target_manifest.json,model-ready-metadata,c11fbe2ee8a47a53e2ceb716a9c3fadbd8d728c11e39e635ea03a85f4c423885,true,passed_sensitive_gate,0,0,accepted_pending_remaining_gates,eligible_pending_remaining_release_gates,steps-08-through-25
