physical_dataset_id,source_file,source_file_url,source_sha256,evidence_location
ord_dataset-5c9a10329a8a48968d18879a48bb8ab2,data/5c/ord_dataset-5c9a10329a8a48968d18879a48bb8ab2.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/5c/ord_dataset-5c9a10329a8a48968d18879a48bb8ab2.parquet,a2ea1363cb895b590ae765e918f98f90d243d6caba763ed74543ae62e503b0b0,intermediate/02-source-evidence/archive-index.csv
ord_dataset-5e8318f0dda04b398c14f4c3adfeb32c,data/5e/ord_dataset-5e8318f0dda04b398c14f4c3adfeb32c.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/5e/ord_dataset-5e8318f0dda04b398c14f4c3adfeb32c.parquet,94de6b8e87229d5db4fe8c17212afa2d3563478ca32aee934cc449559cab0bca,intermediate/02-source-evidence/archive-index.csv
ord_dataset-5eb7f2689f4a42eba63ad9e37e49a5cd,data/5e/ord_dataset-5eb7f2689f4a42eba63ad9e37e49a5cd.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/5e/ord_dataset-5eb7f2689f4a42eba63ad9e37e49a5cd.parquet,2f478e163ab9f9ee2f001172fc9f0c33b0a65ec2dc787c12298f6e85bc86f7a6,intermediate/02-source-evidence/archive-index.csv
ord_dataset-675eddcaa6674ce3ae61e79bbc1e1c08,data/67/ord_dataset-675eddcaa6674ce3ae61e79bbc1e1c08.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/67/ord_dataset-675eddcaa6674ce3ae61e79bbc1e1c08.parquet,1ecc5469785e55997f244eb5f8d6dbc78029cbb233bd6a140b5f02d5d01860a1,intermediate/02-source-evidence/archive-index.csv
ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203,data/68/ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/68/ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203.parquet,36cea7705307a5e359a176ed3862994e3edc60ae4363fc2f3c5862affff6bb21,intermediate/02-source-evidence/archive-index.csv
ord_dataset-6a0bfcdf53a64c07987822162ae591e2,data/6a/ord_dataset-6a0bfcdf53a64c07987822162ae591e2.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/6a/ord_dataset-6a0bfcdf53a64c07987822162ae591e2.parquet,f970251d44ad75b68c8f6b8f3f28ff97f540fb7967d3bbc9b7338a7d7290ed3a,intermediate/02-source-evidence/archive-index.csv
ord_dataset-7acd6ad2bf4d4cff841cad008ab726d5,data/7a/ord_dataset-7acd6ad2bf4d4cff841cad008ab726d5.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/7a/ord_dataset-7acd6ad2bf4d4cff841cad008ab726d5.parquet,b6dfe8e151a396c5332668c015bce764d23c667240e443495990205c66e4a1e5,intermediate/02-source-evidence/archive-index.csv
ord_dataset-7d8f5fd922d4497d91cb81489b052746,data/7d/ord_dataset-7d8f5fd922d4497d91cb81489b052746.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/7d/ord_dataset-7d8f5fd922d4497d91cb81489b052746.parquet,3d657d1eda5703b58b627565894890269b50b18e987709e70fd7968d83e59101,intermediate/02-source-evidence/archive-index.csv
ord_dataset-805ad863feef48579d95d86a728035f4,data/80/ord_dataset-805ad863feef48579d95d86a728035f4.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/80/ord_dataset-805ad863feef48579d95d86a728035f4.parquet,31b7c4762145e5dad973050373cd967bdd85caf3a9858767c83a17fed6c4af36,intermediate/02-source-evidence/archive-index.csv
ord_dataset-89b083710e2d441aa0040c361d63359f,data/89/ord_dataset-89b083710e2d441aa0040c361d63359f.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/89/ord_dataset-89b083710e2d441aa0040c361d63359f.parquet,9a5cbdae282df3da7249e7525b7ecb739e4892061abe1f66e62c3fd69736ad72,intermediate/02-source-evidence/archive-index.csv
ord_dataset-8d1e28ec1f6b4ee8ad372e0b5ed7a62e,data/8d/ord_dataset-8d1e28ec1f6b4ee8ad372e0b5ed7a62e.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/8d/ord_dataset-8d1e28ec1f6b4ee8ad372e0b5ed7a62e.parquet,e4f7505229e29321b5615f32ec2edcf45c9bc531bee2810d2a8985319b7ee127,intermediate/02-source-evidence/archive-index.csv
ord_dataset-99c23cf435dc42f1af884053bc8b11c7,data/99/ord_dataset-99c23cf435dc42f1af884053bc8b11c7.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/99/ord_dataset-99c23cf435dc42f1af884053bc8b11c7.parquet,e01a389cac3e6cce5746ef54dbe6b8d3040d764f987b1fc13790f5aeff5598fa,intermediate/02-source-evidence/archive-index.csv
ord_dataset-9b8aa9a7835143ef8ce3f70abfab7545,data/9b/ord_dataset-9b8aa9a7835143ef8ce3f70abfab7545.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/9b/ord_dataset-9b8aa9a7835143ef8ce3f70abfab7545.parquet,195765643b4aaad79d9ed82de6737a4855b9f2716e0bc0aa10cff950b7604d39,intermediate/02-source-evidence/archive-index.csv
ord_dataset-a12fa15d036d489c971b0b514caeae52,data/a1/ord_dataset-a12fa15d036d489c971b0b514caeae52.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/a1/ord_dataset-a12fa15d036d489c971b0b514caeae52.parquet,ea52ef52e2ecf3eb33d74ca3ffac14ef539357551d252fbc706e95f60c94fca6,intermediate/02-source-evidence/archive-index.csv
ord_dataset-ac78456835404910b3a4c840248b6ac9,data/ac/ord_dataset-ac78456835404910b3a4c840248b6ac9.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/ac/ord_dataset-ac78456835404910b3a4c840248b6ac9.parquet,52a9d0084abc051a792bfb71501af03ec13bdabc24a7db4e33b7223ddf8c884c,intermediate/02-source-evidence/archive-index.csv
ord_dataset-b440f8c90b6343189093770060fc4098,data/b4/ord_dataset-b440f8c90b6343189093770060fc4098.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/b4/ord_dataset-b440f8c90b6343189093770060fc4098.parquet,d289e2e9fbb77df61faadeb65cfadfbee0216b05a7d209b3ae3b3aca04a9993a,intermediate/02-source-evidence/archive-index.csv
ord_dataset-bc349c19b4384756a2aee8aa525b6c2a,data/bc/ord_dataset-bc349c19b4384756a2aee8aa525b6c2a.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/bc/ord_dataset-bc349c19b4384756a2aee8aa525b6c2a.parquet,d4dbdaba59ac728696dea5bc0cafed5c5ab3236cc37da6e29b73e8a792f3b4a3,intermediate/02-source-evidence/archive-index.csv
ord_dataset-c5b00523487a4211a194160edf45e9ab,data/c5/ord_dataset-c5b00523487a4211a194160edf45e9ab.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/c5/ord_dataset-c5b00523487a4211a194160edf45e9ab.parquet,73c04ce2acaf6cf2b6b3ecda8c623d2a321435f1f5830aedb0a0f1afd562bdc4,intermediate/02-source-evidence/archive-index.csv
ord_dataset-c703268ea43a4c7e802c6048b6166b34,data/c7/ord_dataset-c703268ea43a4c7e802c6048b6166b34.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/c7/ord_dataset-c703268ea43a4c7e802c6048b6166b34.parquet,159472bff84a548cb2def33ae92ff36c27139271372e38e70bba8eea152760d3,intermediate/02-source-evidence/archive-index.csv
ord_dataset-cbcc4048add7468e850b6ec42549c70d,data/cb/ord_dataset-cbcc4048add7468e850b6ec42549c70d.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/cb/ord_dataset-cbcc4048add7468e850b6ec42549c70d.parquet,fd62fb8331a5d2d68337882bd711d04f085b6beec7ef1283945f7f72a8cefb81,intermediate/02-source-evidence/archive-index.csv
ord_dataset-ce5045aceb214cfc8bfd0ef3031e2737,data/ce/ord_dataset-ce5045aceb214cfc8bfd0ef3031e2737.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/ce/ord_dataset-ce5045aceb214cfc8bfd0ef3031e2737.parquet,fba1e4a5d3f30708bb925e0d0b93d420c26b17707f45fceb34e579f5f624c772,intermediate/02-source-evidence/archive-index.csv
ord_dataset-d26118acda314269becc35db5c22dc59,data/d2/ord_dataset-d26118acda314269becc35db5c22dc59.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/d2/ord_dataset-d26118acda314269becc35db5c22dc59.parquet,0a600968a24eff0a440e30685b2cb7b62030693605574105eb57b7f07329700b,intermediate/02-source-evidence/archive-index.csv
ord_dataset-d319c2a22ecf4ce59db1a18ae71d529c,data/d3/ord_dataset-d319c2a22ecf4ce59db1a18ae71d529c.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/d3/ord_dataset-d319c2a22ecf4ce59db1a18ae71d529c.parquet,d8f8b29f790e168b7f44dcbdd2ca88829bdaea6be54a31369fd964cf9c01da82,intermediate/02-source-evidence/archive-index.csv
ord_dataset-d92976309c3a48a3a64a4cf5e7048086,data/d9/ord_dataset-d92976309c3a48a3a64a4cf5e7048086.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/d9/ord_dataset-d92976309c3a48a3a64a4cf5e7048086.parquet,78c17145099d29458960ffcb6cec7a8987efeae06b100004be2255ff28e54994,intermediate/02-source-evidence/archive-index.csv
ord_dataset-dc0249930af34d17a3c76881a762aebf,data/dc/ord_dataset-dc0249930af34d17a3c76881a762aebf.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/dc/ord_dataset-dc0249930af34d17a3c76881a762aebf.parquet,baaa0748a4a561705df275c3152a67ef52605a33249f674129f24c1abecfb2b9,intermediate/02-source-evidence/archive-index.csv
ord_dataset-e7830cd6b11158b43994ccfb5ee9acb3,data/e7/ord_dataset-e7830cd6b11158b43994ccfb5ee9acb3.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/e7/ord_dataset-e7830cd6b11158b43994ccfb5ee9acb3.parquet,428d777066426504896fc2a0352838caba173518056ce83b387d9701f67af08e,intermediate/02-source-evidence/archive-index.csv
ord_dataset-eeba974d3c284aed86d1c1d442260a1e,data/ee/ord_dataset-eeba974d3c284aed86d1c1d442260a1e.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/ee/ord_dataset-eeba974d3c284aed86d1c1d442260a1e.parquet,dbf6dae9521463c542fa8abccd2a078742c8052c0af11db842d200d94403fac6,intermediate/02-source-evidence/archive-index.csv
ord_dataset-fc83743b978f4deea7d6856deacbfe53,data/fc/ord_dataset-fc83743b978f4deea7d6856deacbfe53.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/fc/ord_dataset-fc83743b978f4deea7d6856deacbfe53.parquet,14095b49acb35adf50d1ff065d7b9d2ccf01d37f57ccaebbb6ce8eddfd11f484,intermediate/02-source-evidence/archive-index.csv
ord_dataset-feaf1b793c6d408aaec1cac7cc3ceadc,data/fe/ord_dataset-feaf1b793c6d408aaec1cac7cc3ceadc.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/fe/ord_dataset-feaf1b793c6d408aaec1cac7cc3ceadc.parquet,ebefbe9aba687f182d4f068e94be0f7fd71d1189bdb2eff2aca6fedf4d522bf3,intermediate/02-source-evidence/archive-index.csv
