artifact_id,old_path,object_type,size_bytes,mtime_ns,sha256,hash_policy,disposition,artifact_class,classification_rule_id,origin,license_candidate_id,redistribution_status,copyright_notice_candidate,new_path,target_path_status,step_owner,reason,duplicate_group_size,canonical_artifact_id,snapshot_manifest_sha256
dataset-artifact-46716691b60372374e5ff3ff,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_26434_chemrxiv_15001213/reactions.csv,file,1121680,1787653757421377904,1f7ee26f0b2298e720ddcca93ed76d1dc74b2198eff20c326b44119f14631ee7,full_sha256,quarantined,legacy-needs-review,R03_NEEDS_REVIEW_QUARANTINE,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_26434_chemrxiv_15001213/reactions.csv,NOASSERTION,blocked_pending_audit,NOASSERTION,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=lit_10_26434_chemrxiv_15001213/reactions.csv,planned_quarantine,step-18,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs.",2,dataset-artifact-a7c35490989ac062ad2f91ec,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-5f7ed1dacbb68d378814b65d,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_00005539a1e04c809a9a78647bea649c,dir,0,1788500798769146304,,directory_metadata,excluded,directory-entry,R00_DIRECTORY_METADATA_ONLY,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_00005539a1e04c809a9a78647bea649c,NOASSERTION,not_applicable,NOASSERTION,provenance/artifact-inventory.csv#dataset-artifact-5f7ed1dacbb68d378814b65d,manifest_only,step-04,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.,1,dataset-artifact-5f7ed1dacbb68d378814b65d,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-a3c64bede55f23a136b5a54b,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_00005539a1e04c809a9a78647bea649c/reactions.csv,file,2902696,1787653757506380512,ab44dc0195ff5af36efbd0b9b77e3b284ab79e8cb1b0a7773b571a9a184c7c53,full_sha256,quarantined,legacy-needs-review,R03_NEEDS_REVIEW_QUARANTINE,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_00005539a1e04c809a9a78647bea649c/reactions.csv,NOASSERTION,blocked_pending_audit,NOASSERTION,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=physical_00005539a1e04c809a9a78647bea649c/reactions.csv,planned_quarantine,step-18,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs.",2,dataset-artifact-ebaa7fd588f9492d82447906,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-bd61be761af643448f79c65e,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_0316886541d9435489859c2ad7edc863,dir,0,1788500798769146304,,directory_metadata,excluded,directory-entry,R00_DIRECTORY_METADATA_ONLY,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_0316886541d9435489859c2ad7edc863,NOASSERTION,not_applicable,NOASSERTION,provenance/artifact-inventory.csv#dataset-artifact-bd61be761af643448f79c65e,manifest_only,step-04,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.,1,dataset-artifact-bd61be761af643448f79c65e,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-4d762e4c500fd144c348cd31,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_0316886541d9435489859c2ad7edc863/reactions.csv,file,842569,1787653757535381403,648a43db848a8a69d11cb58c3ed3eb1508af525f27c558d3a54597545fa12ce1,full_sha256,quarantined,legacy-needs-review,R03_NEEDS_REVIEW_QUARANTINE,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_0316886541d9435489859c2ad7edc863/reactions.csv,NOASSERTION,blocked_pending_audit,NOASSERTION,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=physical_0316886541d9435489859c2ad7edc863/reactions.csv,planned_quarantine,step-18,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs.",2,dataset-artifact-e26e3ba6910d559f570731c9,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-53242ce3bbd83b4d7e693655,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_10b940e7982c4622b1e1ac879394aba6,dir,0,1788500798769146304,,directory_metadata,excluded,directory-entry,R00_DIRECTORY_METADATA_ONLY,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_10b940e7982c4622b1e1ac879394aba6,NOASSERTION,not_applicable,NOASSERTION,provenance/artifact-inventory.csv#dataset-artifact-53242ce3bbd83b4d7e693655,manifest_only,step-04,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.,1,dataset-artifact-53242ce3bbd83b4d7e693655,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-9c37ff120e239b874a266248,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_10b940e7982c4622b1e1ac879394aba6/reactions.csv,file,1365230,1787653757586382968,10ea96bf4cdf43ed16c1508b17b8fb0a530f78ebd46089500e465ebbe9653155,full_sha256,quarantined,legacy-needs-review,R03_NEEDS_REVIEW_QUARANTINE,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_10b940e7982c4622b1e1ac879394aba6/reactions.csv,NOASSERTION,blocked_pending_audit,NOASSERTION,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=physical_10b940e7982c4622b1e1ac879394aba6/reactions.csv,planned_quarantine,step-18,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs.",2,dataset-artifact-ccf1dc928f2eaf8057e78396,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-ddcd273a22e19a6947abed02,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1158e351757f315b93cbcbe7bc55f38e,dir,0,1788500798769146304,,directory_metadata,excluded,directory-entry,R00_DIRECTORY_METADATA_ONLY,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1158e351757f315b93cbcbe7bc55f38e,NOASSERTION,not_applicable,NOASSERTION,provenance/artifact-inventory.csv#dataset-artifact-ddcd273a22e19a6947abed02,manifest_only,step-04,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.,1,dataset-artifact-ddcd273a22e19a6947abed02,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-bfd9d110413010e25d4a96e3,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1158e351757f315b93cbcbe7bc55f38e/reactions.csv,file,10297606246,1787654088285570845,1812168fa69646d992efc36075a5a3da9c5ab4ae3a3b1883dc790c896320d359,full_sha256,quarantined,legacy-needs-review,R03_NEEDS_REVIEW_QUARANTINE,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1158e351757f315b93cbcbe7bc55f38e/reactions.csv,NOASSERTION,blocked_pending_audit,NOASSERTION,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=physical_1158e351757f315b93cbcbe7bc55f38e/reactions.csv,planned_quarantine,step-18,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs.",2,dataset-artifact-bcb006aee57909d3d35536e5,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-28ec74341d22eb59857f7f6f,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1d3a1a6fb70d46c084602d0688967afc,dir,0,1788500798769146304,,directory_metadata,excluded,directory-entry,R00_DIRECTORY_METADATA_ONLY,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1d3a1a6fb70d46c084602d0688967afc,NOASSERTION,not_applicable,NOASSERTION,provenance/artifact-inventory.csv#dataset-artifact-28ec74341d22eb59857f7f6f,manifest_only,step-04,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.,1,dataset-artifact-28ec74341d22eb59857f7f6f,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
