reactant-1,reagent-1,reagent-2,reagent-3,reagent-4,reagent-5,catalyst-1,catalyst-2,solvent-1,solvent-2,product,temperature_c,reaction_time_s,yield_percent
Brc1ccc(Br)cc1,c1ccc(N2B(B3Nc4ccccc4N3c3ccccn3)Nc3ccccc32)nc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,COC1CCCC1,,CC1(C)OB(c2cc(Br)ccc2Br)OC1(C)C,100.0,57600.0,62.0
Cc1cccc(N(C)C)c1,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,CC1(C)OBOC1(C)C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,,,C1=CCCC=CCC1.C1=CCCC=CCC1.[Cl-].[Cl-].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,24.0
Cc1cccc(N(C)C)c1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,58.0
CCc1cccc(SC)c1,Cc1ccnc(-c2cc(C)ccn2)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,Cc1ccc(C)cc1,,CCc1cc(SC)cc(B2OC(C)(C)C(C)(C)O2)c1,55.0,86400.0,74.0
Cc1cccc(N(C)C)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,55.0
COc1ccc(C(=O)NCc2ccccc2)cc1,Cc1[nH]c2c(NC(=O)c3ccc(-c4ccccn4)nc3)cccc2c1C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,COc1ccc(C(=O)NCc2ccccc2)c(B2OC(C)(C)C(C)(C)O2)c1,60.0,345600.0,43.0
Cc1cccc(C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)c1,O=C(C=Cc1ccc(C(F)(F)F)cc1)C=Cc1ccc(C(F)(F)F)cc1,Cc1ccc(S(=O)(=O)O)cc1.[Na],O=S(=O)(O)OOS(=O)(=O)O.[K],CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,CC(=O)O.[Pd],,CC#N,,Cc1ccc(B2OC(C)(C)C(C)(C)O2)c(C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)c1,80.0,86400.0,82.0
Cc1cccc(N(C)C)c1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,CC1(C)OBOC1(C)C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,14.0
CCCCCCN(CCCCCC)C(=O)c1cccc(-c2ccccc2)c1,O=C(Nc1ccccc1-c1ccc(-c2ccccn2)nc1)NC1CCCCC1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,Cc1ccc(C)cc1,,CCCCCCN(CCCCCC)C(=O)c1cc(B2OC(C)(C)C(C)(C)O2)cc(-c2ccccc2)c1,25.0,57600.0,99.0
c1ccc2c(-c3ccc4c5c(cccc35)CC4)nccc2c1,CC1(C)OBOC1(C)C,C(=NN(Cc1ccccc1)Cc1ccccc1)c1ccccn1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CC1(C)OB(c2cc3c4c(cccc4c2-c2nccc4ccccc24)CC3)OC1(C)C,50.0,25200.0,79.0
Cc1cccc(N(C)C)c1,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,72.0
c1cn[nH]c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CC1(C)OB(c2cn[nH]c2)OC1(C)C,80.0,75600.0,91.0
CCOC(=O)c1cccc(F)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,COc1ccccn1,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CCOC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)c(F)c1,80.0,57600.0,8.0
CNC(=O)c1ccc(C)cc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,c1ccc(-c2ccccn2)nc1,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CNC(=O)c1ccc(C)cc1B1OC(C)(C)C(C)(C)O1,60.0,345600.0,0.0
c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC1(C)OBOC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CC1(C)OB(c2cccc3c2[nH]c2ccccc23)OC1(C)C,80.0,0.0,47.0
c1ccc2c(-c3nccc4ccccc34)cccc2c1,CC1(C)OBOC1(C)C,C(=NN(Cc1ccccc1)Cc1ccccc1)c1ccccn1,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.[Cl-].[Cl-].[Ir].[Ir],,C1CCOC1,,CC1(C)OB(c2ccc3ccccc3c2-c2nccc3ccccc23)OC1(C)C,80.0,259200.0,50.0
Cc1ccc(C)c(OCCCC(C)(C)C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)c1,CC[N+](CC)(CC)CC.F[B-](F)(F)F,CC(=O)O,COc1cc(OC)c2ccccc2n1,O=C(O)O.[K],CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC(=O)O.[Pd],,CC#N,,Cc1ccc(C)c(OCCCC(C)(CB2OC(C)(C)C(C)(C)O2)C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)c1,80.0,54000.0,71.0
CN(C)c1ccccc1,CCN(CC)CC,B1Oc2ccccc2O1,CC(C)(O)C(C)(C)O,,,c1ccc(B(c2ccccc2)c2ccccc2)cc1,,,,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,100.0,86400.0,88.0
Cc1ccc(O)cc1C,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,CC1(C)OBOC1(C)C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCCCC1,,Cc1cc(O)c(B2OC(C)(C)C(C)(C)O2)cc1C,80.0,86400.0,68.0
Cc1cccc(Br)c1,CC1(C)OBOC1(C)C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,,,,,,COC1CCCC1,,Cc1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1,25.0,14400.0,49.0
