reactant-1,reactant-2,reagent-1,reagent-2,catalyst-1,catalyst-2,solvent-1,solvent-2,solvent-3,product,temperature_c,reaction_time_s,reflux_value,conditions_are_dynamic_value,yield_percent
Brc1ccc2occc2c1,N#Cc1ccc(-n2ccnc2)cc1,CC(C)(C)C(=O)[O-].[K+],,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,N#Cc1ccc(-n2cncc2-c2ccc3occc3c2)cc1,120.0,86400.0,0.0,0.0,63.70000076293945
CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,Cc1cn(Cc2ccccc2)c(C)n1,CC(C)(C)C(=O)[O-].[K+],,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,Cc1nc(C)n(Cc2ccccc2)c1-c1cncc(S(=O)(=O)NC(C)(C)C)c1,120.0,86400.0,0.0,0.0,18.0
Brc1ccccc1-c1ccccc1,Cn1cnc(C#N)c1,CC(C)(C)C(=O)[O-].[K+],,CP(c1ccccc1)c1ccccc1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,Cn1cnc(C#N)c1-c1ccccc1-c1ccccc1,120.0,86400.0,0.0,0.0,0.8100000023841858
CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)(C)C(=O)[O-].[K+],,c1coc(P(c2ccco2)c2ccco2)c1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,120.0,86400.0,0.0,0.0,73.30999755859375
Brc1ccc2occc2c1,Cc1cn(Cc2ccccc2)c(C)n1,CC(C)(C)C(=O)[O-].[K+],,CCCCC1(P(C2CCCCC2)C2CCCCC2)c2ccccc2-c2ccccc21,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,Cc1nc(C)n(Cc2ccccc2)c1-c1ccc2occc2c1,120.0,86400.0,0.0,0.0,0.9700000286102295
Fc1ccccc1Br,Cc1cn(Cc2ccccc2)c(C)n1,CC(C)(C)C(=O)[O-].[K+],,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,Cc1nc(C)n(Cc2ccccc2)c1-c1ccccc1F,120.0,86400.0,0.0,0.0,0.0
Brc1ccc2c(ccn2Cc2ccccc2)c1,N#Cc1ccc(-n2ccnc2)cc1,CC(C)(C)C(=O)[O-].[K+],,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,N#Cc1ccc(-n2cncc2-c2ccc3c(ccn3Cc3ccccc3)c2)cc1,120.0,86400.0,0.0,0.0,47.79999923706055
Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)(C)C(=O)[O-].[K+],,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,120.0,86400.0,0.0,0.0,65.86000061035156
CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(C)(C)C(=O)[O-].[K+],,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)c1ccc(-c2cncn2C(C)C)s1,120.0,86400.0,0.0,0.0,21.59000015258789
Fc1ccccc1Br,O=[N+]([O-])c1ccc(-n2ccnc2-c2ccccc2)cc1,CC(C)(C)C(=O)[O-].[K+],,COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,O=[N+]([O-])c1ccc(-n2c(-c3ccccc3F)cnc2-c2ccccc2)cc1,120.0,86400.0,0.0,0.0,23.3799991607666
FC(F)(F)c1cncc(Br)c1,CC(C)n1ccnc1,CC(C)(C)C(=O)[O-].[K+],,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(C)n1cncc1-c1cncc(C(F)(F)F)c1,120.0,86400.0,0.0,0.0,6.599999904632568
Fc1ccccc1Br,FC(F)n1ccnc1-c1ccccc1,CC(C)(C)C(=O)[O-].[K+],,CP(c1ccccc1)c1ccccc1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,Fc1ccccc1-c1cnc(-c2ccccc2)n1C(F)F,120.0,86400.0,0.0,0.0,0.029999999329447746
FC(F)(F)c1cncc(Br)c1,Cn1cnc(C#N)c1,CC(C)(C)C(=O)[O-].[K+],,CP(c1ccccc1)c1ccccc1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,Cn1cnc(C#N)c1-c1cncc(C(F)(F)F)c1,120.0,86400.0,0.0,0.0,70.68000030517578
CC(=O)c1ccc(Br)s1,O=[N+]([O-])c1ccc(-n2ccnc2-c2ccccc2)cc1,CC(C)(C)C(=O)[O-].[K+],,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)c1ccc(-c2cnc(-c3ccccc3)n2-c2ccc([N+](=O)[O-])cc2)s1,120.0,86400.0,0.0,0.0,55.16999816894531
FC(F)(F)c1cncc(Br)c1,FC(F)n1ccnc1-c1ccccc1,CC(C)(C)C(=O)[O-].[K+],,COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,FC(F)n1c(-c2cncc(C(F)(F)F)c2)cnc1-c1ccccc1,120.0,86400.0,0.0,0.0,87.19999694824219
Brc1ccc2c(ccn2Cc2ccccc2)c1,Cn1cnc(C#N)c1,CC(C)(C)C(=O)[O-].[K+],,CC(C)(C)P(c1ccccc1)C(C)(C)C,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,Cn1cnc(C#N)c1-c1ccc2c(ccn2Cc2ccccc2)c1,120.0,86400.0,0.0,0.0,24.3700008392334
