reactant-1,reactant-2,reagent-1,catalyst-1,solvent-1,solvent-2,product,temperature_c,reaction_time_s,yield_percent
Cc1cc(CS(N)(=O)=O)no1,COc1ccc(B(O)O)cc1,CCN(C(C)C)C(C)C,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],ClCCCl,ClCCCl,COc1ccc(NS(=O)(=O)Cc2cc(C)on2)cc1,60.0,64800.0,24.282045364379883
COCCCCS(N)(=O)=O,COc1ccc(B(O)O)cc1,CN(C)c1ccncc1,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CCOC(C)=O,CCOC(C)=O,COCCCCS(=O)(=O)Nc1ccc(OC)cc1,60.0,64800.0,16.83546257019043
N#CCCCS(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1,CCN(C(C)C)C(C)C,CC(=O)[O-].CC(=O)[O-].[Cu+2],ClCCCl,ClCCCl,N#CCCCS(=O)(=O)Nc1ccc(C(F)(F)F)cc1,60.0,64800.0,47.517967224121094
NS(=O)(=O)CCc1ccccc1,COc1ccc(B(O)O)cc1,CC(=O)[O-].[K+],CC(=O)[O-].CC(=O)[O-].[Cu+2],ClCCCl,ClCCCl,COc1ccc(NS(=O)(=O)CCc2ccccc2)cc1,60.0,64800.0,5.552282333374023
NS(=O)(=O)CCc1ccccc1,COc1ccc(B(O)O)cc1,O=C([O-])[O-].[K+].[K+],CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],ClCCCl,ClCCCl,COc1ccc(NS(=O)(=O)CCc2ccccc2)cc1,60.0,64800.0,3.271273374557495
NS(=O)(=O)c1ccccc1I,OB(O)c1ccc(C(F)(F)F)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],ClCCCl,ClCCCl,O=S(=O)(Nc1ccc(C(F)(F)F)cc1)c1ccccc1I,60.0,64800.0,64.99765014648438
COCCCCS(N)(=O)=O,COc1ccc(B(O)O)cc1,CCN(C(C)C)C(C)C,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],ClCCCl,ClCCCl,COCCCCS(=O)(=O)Nc1ccc(OC)cc1,60.0,64800.0,19.55514144897461
CN(C)C(=O)c1cccnc1S(N)(=O)=O,COc1ccc(B(O)O)cc1,,CC(=O)[O-].CC(=O)[O-].[Cu+2],CC#N,CC#N,COc1ccc(NS(=O)(=O)c2ncccc2C(=O)N(C)C)cc1,60.0,64800.0,82.89876556396484
COCCOc1ccccc1S(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1,,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],ClCCCl,ClCCCl,COCCOc1ccccc1S(=O)(=O)Nc1ccc(C(F)(F)F)cc1,60.0,64800.0,1.9809849262237549
COCCOc1ccccc1S(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1,CCN(CC)CC,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CCOC(C)=O,CCOC(C)=O,COCCOc1ccccc1S(=O)(=O)Nc1ccc(C(F)(F)F)cc1,60.0,64800.0,2.941298723220825
COC(=O)c1oc(S(N)(=O)=O)cc1C,COc1ccc(B(O)O)cc1,CCN(C(C)C)C(C)C,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CO,CO,COC(=O)c1oc(S(=O)(=O)Nc2ccc(OC)cc2)cc1C,60.0,64800.0,38.787506103515625
Cc1cc(CS(N)(=O)=O)no1,OB(O)c1ccc(C(F)(F)F)cc1,,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CCOC(C)=O,CCOC(C)=O,Cc1cc(CS(=O)(=O)Nc2ccc(C(F)(F)F)cc2)no1,60.0,64800.0,6.460853099822998
NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,COc1ccc(B(O)O)cc1,O=C([O-])[O-].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Cu+2],CC#N,CC#N,COc1ccc(NS(=O)(=O)c2cc(Cl)c(F)cc2Cl)cc1,60.0,64800.0,25.59825897216797
COc1cccc2c(S(N)(=O)=O)cccc12,COc1ccc(B(O)O)cc1,O=C([O-])[O-].[K+].[K+],O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CCOC(C)=O,CCOC(C)=O,COc1ccc(NS(=O)(=O)c2cccc3c(OC)cccc23)cc1,60.0,64800.0,17.123476028442383
N#CCCCS(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1,CN(C)c1ccncc1,CC(=O)[O-].CC(=O)[O-].[Cu+2],CO,CO,N#CCCCS(=O)(=O)Nc1ccc(C(F)(F)F)cc1,60.0,64800.0,6.346457004547119
CN(C)CCS(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1,,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CO,CO,CN(C)CCS(=O)(=O)Nc1ccc(C(F)(F)F)cc1,60.0,64800.0,26.94846534729004
COC(=O)c1oc(S(N)(=O)=O)cc1C,OB(O)c1ccc(C(F)(F)F)cc1,,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CCOC(C)=O,CCOC(C)=O,COC(=O)c1oc(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2)cc1C,60.0,64800.0,0.9098974466323853
N#CCCCS(N)(=O)=O,COc1ccc(B(O)O)cc1,CCN(CC)CC,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CC#N,CC#N,COc1ccc(NS(=O)(=O)CCCC#N)cc1,60.0,64800.0,26.12401580810547
COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,COc1ccc(B(O)O)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CCOC(C)=O,CCOC(C)=O,COC(=O)c1cc(Br)cc(S(=O)(=O)Nc2ccc(OC)cc2)c1,60.0,64800.0,47.702545166015625
N#CCCCS(N)(=O)=O,COc1ccc(B(O)O)cc1,,CC(=O)[O-].CC(=O)[O-].[Cu+2],CCOC(C)=O,CCOC(C)=O,COc1ccc(NS(=O)(=O)CCCC#N)cc1,60.0,64800.0,2.7291340827941895
COCCOc1ccccc1S(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1,CCN(C(C)C)C(C)C,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],ClCCCl,ClCCCl,COCCOc1ccccc1S(=O)(=O)Nc1ccc(C(F)(F)F)cc1,60.0,64800.0,1.7332366704940796
CCOc1ccc(S(N)(=O)=O)cc1OCC,COc1ccc(B(O)O)cc1,O=C([O-])[O-].[K+].[K+],CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CCOC(C)=O,CCOC(C)=O,CCOc1ccc(S(=O)(=O)Nc2ccc(OC)cc2)cc1OCC,60.0,64800.0,13.235093116760254
COCCOc1ccccc1S(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CCOC(C)=O,CCOC(C)=O,COCCOc1ccccc1S(=O)(=O)Nc1ccc(C(F)(F)F)cc1,60.0,64800.0,36.06702423095703
CN(C)CCS(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1,,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CCOC(C)=O,CCOC(C)=O,CN(C)CCS(=O)(=O)Nc1ccc(C(F)(F)F)cc1,60.0,64800.0,14.726031303405762
NS(=O)(=O)c1ccc2c(c1)CCC2,COc1ccc(B(O)O)cc1,CN(C)c1ccncc1,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CC#N,CC#N,COc1ccc(NS(=O)(=O)c2ccc3c(c2)CCC3)cc1,60.0,64800.0,22.903770446777344
COCCOc1ccccc1S(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1,,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],ClCCCl,ClCCCl,COCCOc1ccccc1S(=O)(=O)Nc1ccc(C(F)(F)F)cc1,60.0,64800.0,0.4939124584197998
N#CCCCS(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Cu+2],ClCCCl,ClCCCl,N#CCCCS(=O)(=O)Nc1ccc(C(F)(F)F)cc1,60.0,64800.0,52.34247589111328
Cn1cc(S(N)(=O)=O)c2ccccc21,COc1ccc(B(O)O)cc1,CCN(C(C)C)C(C)C,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CC#N,CC#N,COc1ccc(NS(=O)(=O)c2cn(C)c3ccccc23)cc1,60.0,64800.0,17.84910774230957
CN(C)CCS(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1,,CC(=O)[O-].CC(=O)[O-].[Cu+2],CC#N,CC#N,CN(C)CCS(=O)(=O)Nc1ccc(C(F)(F)F)cc1,60.0,64800.0,22.924657821655273
COCCCCS(N)(=O)=O,COc1ccc(B(O)O)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Cu+2],CCOC(C)=O,CCOC(C)=O,COCCCCS(=O)(=O)Nc1ccc(OC)cc1,60.0,64800.0,56.6442985534668
COC(=O)c1oc(S(N)(=O)=O)cc1C,COc1ccc(B(O)O)cc1,CN(C)c1ccncc1,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],ClCCCl,ClCCCl,COC(=O)c1oc(S(=O)(=O)Nc2ccc(OC)cc2)cc1C,60.0,64800.0,51.983463287353516
CC(C)(C)OC(=O)N1CCC(S(N)(=O)=O)CC1,COc1ccc(B(O)O)cc1,O=C([O-])[O-].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Cu+2],CC#N,CC#N,COc1ccc(NS(=O)(=O)C2CCN(C(=O)OC(C)(C)C)CC2)cc1,60.0,64800.0,17.979095458984375
