reactant-1,reactant-2,reactant-3,reagent-1,reagent-2,reagent-3,reagent-4,reagent-5,catalyst-1,catalyst-2,solvent-1,solvent-2,product,lc_area_percent
Cc1ccc(S(=O)(=O)OC2=CC(=O)CC2)cc1,CO,[C-]#[O+],O=C([O-])[O-].[K+].[K+],,,,,CC(=O)[O][Pd][O]C(C)=O,C1CCC([P+](CCC[P+](C2CCCC2)C2CCCC2)C2CCCC2)C1.F[B-](F)(F)F.F[B-](F)(F)F,CO,,COC(=O)C1=CC(=O)CC1,86.0
Cc1cc(C)c(CN2CCc3c(Cl)cc(Br)c(Cl)c3C2=O)c(OCc2ccccc2)n1,Cc1cn(C)nn1,,CC(C)(C)C(=O)[O-].[Cs+],,,,,,,CC(=O)N(C)C,,Cc1cc(C)c(CN2CCc3c(Cl)cc(-c4c(C)nnn4C)c(Cl)c3C2=O)c(OCc2ccccc2)n1,2.0
Cc1cc(C)c(CN2CCc3c(Cl)cc(Br)c(Cl)c3C2=O)c(OCc2ccccc2)n1,CC(C)(C)OC(=O)N1CCN(C[B-](F)(F)F)CC1.[K+],,O=C([O-])[O-].[Cs+].[Cs+],O,,,,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.[Cl][Pd][Cl],,C1CCOC1,,Cc1cc(C)c(CN2CCc3c(Cl)cc(CN4CCN(C(=O)OC(C)(C)C)CC4)c(Cl)c3C2=O)c(OCc2ccccc2)n1,10.0
Brc1ccc2ncccc2c1,CC(C)(C)OC(=O)NNC(=O)OC(C)(C)C,,CCC(C)(C)[O-].[K+],,,,,CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)P(C(C)(C)C)C(C)(C)C.[Pd],,C1COCCO1,,CC(C)(C)OC(=O)NN(C(=O)OC(C)(C)C)c1ccc2ncccc2c1,0.0
COc1cc(Br)c(Br)nc1N,CN(Cc1nn(C)c(C#N)[c]1[Sn]([CH3])([CH3])[CH3])C(=O)OC(C)(C)C,,,,,,,CC(=O)[O][Pd][O]C(C)=O,CCCCP([C@]12C[C@@H]3C[C@H](C[C@@H](C3)C1)C2)[C@]12C[C@H]3C[C@@H](C[C@H](C3)C1)C2,CC#N,,COc1cc(Br)c(-c2c(CN(C)C(=O)OC(C)(C)C)nn(C)c2C#N)nc1N,2.0
Cc1nc2cccc(B3OC(C)(C)C(C)(C)O3)c2o1,CI,,[Cs+].[F-],O,,,,[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,,CC#N,,Cc1nc2cccc(C)c2o1,75.0
Cc1nc(Cl)ccc1Br,BrBr,,,,,,,,,CO,,Clc1ccc(Br)c(CBr)n1,0.0
COc1cc(C(=O)OCS(=O)(=O)Cc2ccccc2)cc(OC)c1OC,Cc1cncc(Br)c1,,O=C([O-])[O-].[Cs+].[Cs+],CCC(C)(C)[O-].[K+],,,,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(C)c1cccc(C(C)C)c1-n1cc[n+](-c2c(C(C)C)cccc2C(C)C)c1.[Cl-],C1COCCO1,,Cc1cncc(Cc2ccccc2)c1,38.0
CS(=O)(=O)N1CC[C@H]2O[C@@H]2C1,[NH4+].[OH-],,[Cl-].[Cl-].[Cl-].[Cl-].[Sn+4],,,,,,,ClCCCl,,CS(=O)(=O)N1CC[C@H](O)[C@@H](N)C1,0.0
CC(C)(C)OC(=O)N1CCc2cc(Br)cc(OCc3ccccc3)c2C1,O=CN1C(=O)c2ccccc2S1(=O)=O,CC[Si](CC)CC,CCN(C(C)C)C(C)C,,,,,CC(=O)[O][Pd][O]C(C)=O,,CN(C)C=O,,CC(C)(C)OC(=O)N1CCc2cc(C=O)cc(OCc3ccccc3)c2C1,23.0
